id|name|family|equipment|setup|action|cue|mistake
dumbbell_bench_press|Dumbbell Bench Press|press|dumbbells,flat_bench|Lie on a flat bench with a dumbbell above each side of the chest and feet supported.|Lower the weights beside the chest, then press them above the shoulders.|Keep wrists above elbows.|Colliding the dumbbells at the top.
incline_barbell_press|Incline Barbell Bench Press|press|incline_bench,olympic_barbell,plates,squat_rack|Set a low incline inside a rack with safeties and position the bar above the upper chest.|Lower toward the upper chest, then press back to the starting position.|Keep your seat against the pad.|Using a steep incline that changes the intended press.
decline_barbell_press|Decline Barbell Bench Press|press|decline_bench,olympic_barbell,plates,squat_rack|Secure the legs on a decline bench in a correctly positioned rack with a spotter.|Unrack above the chest, lower with control and press back above the shoulders.|Check the rack position before lying down.|Attempting to sit up while still holding the bar.
decline_dumbbell_press|Decline Dumbbell Bench Press|press|decline_bench,dumbbells|Secure the legs on a decline bench and have the dumbbells handed into position.|Lower beside the lower chest and press up, maintaining contact with the bench.|Keep the descent symmetrical.|Trying to mount the bench with weights overhead.
dumbbell_floor_press|Dumbbell Floor Press|press|dumbbells|Lie on the floor with knees bent, holding two dumbbells above the chest.|Lower until the upper arms touch the floor gently, pause, then press up.|Let the floor define the bottom position.|Bouncing elbows off the floor.
single_arm_dumbbell_press|Single-Arm Dumbbell Bench Press|press|dumbbells,flat_bench|Lie fully supported on a bench with one dumbbell above the chest and both feet planted.|Lower beside the chest and press up without rotating the ribcage; finish the side before switching.|Keep both shoulders supported.|Rolling off the bench toward the loaded side.
neutral_grip_dumbbell_press|Neutral-Grip Dumbbell Bench Press|press|dumbbells,flat_bench|Lie on a flat bench with palms facing each other and dumbbells above the chest.|Lower with elbows nearer the ribs, then press along the same path.|Keep the palms facing inward.|Turning the movement into a fly by straightening the elbows early.
close_grip_bench_press|Close-Grip Bench Press|press|flat_bench,olympic_barbell,plates,squat_rack|Set up in a rack with safeties and use a grip around shoulder width rather than hands touching.|Lower the bar with elbows near the torso, then press back above the shoulders.|Keep forearms near vertical at the bottom.|Forcing an excessively narrow wrist position.
smith_flat_press|Smith Machine Bench Press|press|smith_machine,flat_bench|Place a flat bench so the guided bar reaches the chest comfortably and set the stops.|Unhook the bar, lower toward the chest and press along the rails.|Test the path with the unloaded machine.|Positioning the bench so the bar tracks toward the neck.
smith_incline_press|Smith Machine Incline Press|press|smith_machine,incline_bench|Set a low incline beneath the guided bar and adjust stops above the torso.|Lower toward the upper chest and press up without lifting the seat.|Keep the bench centered beneath the bar.|Using the fixed path despite an uncomfortable shoulder position.
